Question_ID,Class,Subject,Chapter,Question_Type,Difficulty,Question_Text,Option_A,Option_B,Option_C,Option_D,Correct_Answer,Marks,Solution,Used_Count,Last_Used_Date
Q1001,10,Mathematics,Algebra,MCQ,Easy,What is (a+b)^2?,a²+b²,a²+2ab+b²,a²-ab+b²,2ab,B,1,(a+b)^2 = a²+2ab+b²,0,
Q1002,10,Mathematics,Algebra,MCQ,Medium,Solve: 2x + 3 = 7,1,2,3,4,B,1,x=2,0,
Q1003,10,Mathematics,Trigonometry,MCQ,Hard,Value of sin(90°)?,0,1,-1,01-Feb,B,1,sin90 = 1,0,
Q1004,10,Mathematics,Algebra,SHORT,Easy,Expand (x+1)^2,,,,,2,x²+2x+1,0,,
Q1005,10,Mathematics,Algebra,3MARK,Medium,Solve x²-4=0,,,,,3,x=±2,0,,
Q1006,10,Mathematics,Trigonometry,LONG,Hard,Prove sin²θ+cos²θ=1,,,,,5,Identity proof,0,,
Q1007,9,Science,Physics,MCQ,Easy,Unit of force?,Joule,Newton,Watt,Pascal,B,1,Force unit Newton,0,
Q1008,9,Science,Chemistry,MCQ,Medium,pH of neutral solution?,5,6,7,8,C,1,pH=7,0,
Q1009,8,English,Grammar,SHORT,Easy,Define noun,,,,,2,Name of person/place,0,,
Q1010,7,History,Ancient,SHORT,Medium,Who built pyramids?,,,,,2,Egyptians,0,,
Q1011,6,Geography,Map,MCQ,Easy,Capital of India?,Mumbai,Delhi,Kolkata,Chennai,B,1,New Delhi,0,
Q1012,5,Bengali,Grammar,SHORT,Easy,সর্বনাম কাকে বলে?,,,,,2,বিশেষ্যের পরিবর্তে ব্যবহৃত শব্দ,0,,
Q1013,4,Mathematics,Numbers,MCQ,Easy,5+3=?,6,7,8,9,C,1,8,0,
Q1014,10,Mathematics,Algebra,CASE,Medium,A case study on equations,,,,,4,Solution explanation,0,,
